Station,Station Name,Province,Latitude,Longitude,Global Horizontal Irradiance,Diffuse Horizontal Irradiance,DHI%
3010010,ABEE AGDM,AB,54.28,-112.97,975.6950973807925,424.05216028654576,59.90398202372765
3010237,ANDREW AGDM,AB,53.92,-112.28,999.6421076133065,416.6030363920518,58.946974024999754
3010730,BODO AGDM,AB,52.12,-110.1,1058.6759964173757,419.256605463502,57.148151836014776
3010816,BRETON PLOTS,AB,53.09,-114.44,1005.1085752271216,424.8187458453357,59.576942776442024
3011240,CAMROSE,AB,53.03,-112.81,1031.5330230496454,415.88342198581563,57.596391462427334
3011815,CONSORT AGDM,AB,51.94,-110.71,1055.529739362887,426.37647582980617,57.12988114177059
3011887,CORONATION CLIMATE,AB,52.07,-111.45,1054.1798577145398,423.741218319253,56.54611096264703
3012202,EDMONTON CITY CENTRE AWOS,AB,53.57,-113.52,1000.7987561083962,414.4551310528654,58.6881334850113
3012216,EDMONTON INTL A,AB,53.31,-113.58,1010.0858664299977,417.60062125582425,58.767281621485125
3012275,ELK ISLAND NAT PARK,AB,53.68,-112.87,1007.7052421146158,411.70568636161704,58.05456604820812
3013340,HOLDEN AGDM,AB,53.19,-112.25,1026.1736327256558,423.6471765228991,58.078043916391124
3013640,KILLAM AGDM,AB,52.85,-111.87,1031.3617967533912,422.8692461641094,57.80361942971479
3013959,LLOYDMINSTER A,AB,53.31,-110.07,1026.253590664273,412.4809245960503,57.52956890326698
3014665,MUNDARE AGDM,AB,53.57,-112.3,1015.4693060498221,416.8396352313167,57.97960033411154
3014921,OLIVER AGDM,AB,53.65,-113.35,993.835260115607,415.8970653623833,59.445674752550666
3015523,ROCKY MTN HOUSE (AUT),AB,52.42,-114.91,998.5213071318171,425.8787811879002,59.82110619306901
3015676,ST PAUL AGCM,AB,54.01,-111.27,1004.6406703910615,408.54413407821227,58.22589787748424
3016022,SMOKY LAKE AGDM,AB,54.28,-112.5,983.4,415.48232662192396,59.391865746160995
3016124,STETTLER AGDM,AB,52.35,-112.6,1033.6142920550378,424.30026631158455,57.93177389345996
3016655,TWO HILLS AGDM,AB,53.63,-111.68,1015.2905963815055,413.19454992182267,58.060413031097816
3016802,VERMILION AGDM,AB,53.34,-110.88,1025.8304629836725,409.39230597181836,57.652290114206615
3016860,VIOLET GROVE CS,AB,53.14,-115.13,992.1451104100946,442.14533573681837,61.434087816528006
3023402,HUSSAR AGDM,AB,51.18,-112.5,1086.5383252104564,425.2492246344705,55.2815068306053
3023722,LACOMBE CDA 2,AB,52.45,-113.76,1033.5210084033613,416.44250331711635,58.15363096361144
3024668,MORRIN AGDM,AB,51.66,-112.67,1049.0347960992908,429.62455673758865,57.638940767760054
3024925,OLDS AGDM,AB,51.76,-114.08,1046.9483329653344,420.5290351070877,56.86282920543216
3024965,OYEN AGDM,AB,51.38,-110.35,1092.2731935771633,430.1384924174844,56.14001304289395
3025243,POLLOCKVILLE AGDM,AB,51.13,-111.71,1081.532888888889,427.5013333333333,56.424876221504654
3025297,PRENTISS,AB,52.43,-113.6,1044.7634743875278,423.88396436525613,57.23248119936304
3025481,RED DEER REGIONAL A,AB,52.18,-113.89,1032.1377099911583,421.341290893015,58.325246298555555
3025768,SCHULER AGDM,AB,50.31,-110.09,1120.4396513187305,424.3953956191328,55.760836024174864
3026479,THREE HILLS,AB,51.77,-113.21,1052.0509074811864,422.96901283753874,56.94136792272688
3030525,BARNWELL AGDM,AB,49.8,-112.3,1122.5055456965395,411.9212511091393,55.19511482111204
3030720,BLOOD TRIBE AGDM,AB,49.57,-113.05,1119.0291005291006,420.26741622574957,55.37904197126217
3030768,BOW ISLAND,AB,49.73,-111.45,1130.4234796168412,411.77389173535306,55.136206845215966
3030772,BOW ISLAND IRRIGATION AGDM,AB,49.87,-111.38,1128.6775128147983,419.3969244484065,55.589230318496234
3030830,BROCKET AGDM,AB,49.62,-113.82,1128.1448093453823,405.1273969583425,53.774664576736534
3031092,CALGARY INTL A,AB,51.11,-114.02,1047.615028646981,414.86315557514325,56.42480565527778
3031322,CARDSTON,AB,49.2,-113.29,1140.5395143487858,414.68167770419427,54.146796110757
3031480,CHAMPION AGDM,AB,50.28,-113.35,1093.5884045142732,427.8749723390131,56.94832653297122
3031640,CLARESHOLM,AB,50.0,-113.64,1084.4133832269426,411.35263042042703,55.98054118031076
3031875,COP UPPER,AB,51.08,-114.22,1052.4418502202643,418.586563876652,56.308780445319094
3032422,ENCHANT AGDM,AB,50.18,-112.43,1104.1749057858567,419.40257149190865,56.04796084664421
3032550,FINCASTLE AGDM,AB,49.8,-112.03,1127.2631111111111,413.2033333333333,55.10100550288454
3032642,FOREMOST AGDM,AB,49.48,-111.49,1140.0758451957295,426.30671708185054,55.250689326568484
3033498,IRON SPRINGS AGDM,AB,49.9,-112.73,1123.9619300575475,407.0141655599823,54.46500196969203
3033890,LETHBRIDGE CDA,AB,49.7,-112.77,1117.7719531077196,414.76797168767973,55.408743781656014
3033897,LETHBRIDGE DEMO FARM AGDM,AB,49.68,-112.75,1119.5163644405131,413.79831932773106,55.24353497861763
3034485,MEDICINE HAT RCS,AB,50.03,-110.72,1122.6054922973879,423.5985711096227,56.26054960781752
3035198,PINCHER CREEK,AB,49.52,-114.0,1126.3862433862435,411.6990740740741,54.22439003397455
3035422,RAYMOND AGDM,AB,49.48,-112.68,1132.6861749116608,412.3529151943463,54.35715269707438
3035845,SEVEN PERSONS AGDM,AB,49.92,-110.92,1134.8719321731369,421.4781347612673,55.22178469700675
3036099,STAVELY AAFC,AB,50.18,-113.88,1068.1583003082342,417.87604579480404,56.197648646527554
3036205,STRATHMORE AGDM,AB,51.03,-113.28,1074.5719655096175,418.03139509175327,56.065073383836186
3036682,VAUXHALL CDA CS,AB,50.05,-112.13,1113.571143174251,411.26526082130965,55.49317036166151
3037675,WRENTHAM AGDM,AB,49.5,-112.12,1138.3104596935377,418.6782145236509,54.53236304947474
3042045,DEL BONITA AGDM,AB,49.05,-112.82,1163.6726296958855,418.70706618962436,52.96900298453417
3044232,MASINASIN AGDM,AB,49.14,-111.65,1146.4386393952868,421.18230324588706,54.84718420933027
3044533,MILK RIVER,AB,49.13,-112.05,1154.4276520195294,417.4340878828229,53.67910618647951
3044923,ONEFOUR CDA,AB,49.12,-110.47,1164.050345288483,424.57050568055246,54.112277190214066
3050519,BANFF CS,AB,51.19,-115.55,994.3958378970427,506.46527929901424,61.43345874993896
3050778,BOW VALLEY,AB,51.08,-115.07,1026.459938704028,468.63922942206653,58.19515057293361
3053536,JASPER WARDEN,AB,52.93,-118.03,954.4903909874089,487.67218908769604,64.8139245641307
3054843,NORDEGG CS,AB,52.49,-116.04,1004.1012826183105,439.6627598407784,59.025985054198664
3056214,WATERTON PARK GATE,AB,49.13,-113.81,1110.3415438750824,473.0030789531559,56.98462071958051
3057376,WHITECOURT A,AB,54.14,-115.79,962.1741071428571,428.8888392857143,61.91513475303162
3060406,ATMORE AGDM,AB,54.78,-112.82,959.0150561797752,422.2761797752809,61.11185778529204
3060535,BARRHEAD CS,AB,54.09,-114.45,989.6166034367328,423.68623075206426,60.42455130594662
3061975,DAPP AGDM,AB,54.32,-113.95,981.4534286352468,419.7983024346661,60.34356004410162
3062246,EDSON CLIMATE,AB,53.58,-116.45,959.0443305858765,439.51013588772554,63.18221809251187
3062697,FORT MCMURRAY A,AB,56.65,-111.22,894.5910002227668,388.9808420583649,62.19875886175846
3063135,HENDRICKSON CREEK,AB,53.8,-118.45,936.5555555555555,482.7702523240372,64.44778167394277
3063165,HIGH PRAIRIE AGDM,AB,55.4,-116.48,947.3832402234636,413.78212290502796,62.318184946213925
3063686,LAC LA BICHE CLIMATE,AB,54.77,-112.02,972.9950617283951,416.416835016835,60.558346943288164
3064528,MILDRED LAKE,AB,57.04,-111.56,897.506,392.92133333333334,62.22869219732026
3065475,RICH LAKE AGDM,AB,54.5,-111.7,986.2663833594274,406.8624468798926,59.2792437310534
3065995,SLAVE LAKE,AB,55.29,-114.78,930.1741081444918,423.62867399596144,62.72064611464189
3070600,BEAVERLODGE RCS,AB,55.2,-119.4,930.6476868327402,420.1376779359431,63.93850357956874
